SALONES,ID,NAME,POPULATION,POP_DENS,PPIDX_CY,PPPC_CY,REGION
0,2807902085,Madrid,1242,41400,1883,2863918,Madrid
0,2807902086,Madrid,1344,44800,1724,2621209,Madrid
0,2807902087,Madrid,2204,244889,1919,2918968,Madrid
0,2807902088,Madrid,698,69800,1473,2240635,Madrid
0,2807902089,Madrid,1097,54850,1712,2603278,Madrid
0,2807902090,Madrid,1844,46100,1656,2518426,Madrid
0,2807902091,Madrid,1139,56950,174,2646653,Madrid
0,2807902092,Madrid,1886,47150,1677,2549695,Madrid
0,2807902093,Madrid,1542,171333,1696,257887,Madrid
0,2807902094,Madrid,1720,43000,1965,2988071,Madrid
0,2807902095,Madrid,1695,211875,1823,2772966,Madrid
0,2807902096,Madrid,1724,34480,2039,3100537,Madrid
0,2807902097,Madrid,1130,376667,1959,2979018,Madrid
0,2807902098,Madrid,1261,25220,2063,3137023,Madrid
0,2807902099,Madrid,2031,10155,1844,2804227,Madrid
0,2807902100,Madrid,1635,148636,1775,2699193,Madrid
0,2807902101,Madrid,1653,27550,1838,2795405,Madrid
0,2807902102,Madrid,1774,22175,1863,2833644,Madrid
0,2807902103,Madrid,2583,4378,2103,3198544,Madrid
0,2807902104,Madrid,2646,29400,2024,3077411,Madrid
0,2807902105,Madrid,3144,95273,1948,2961612,Madrid
0,2807902106,Madrid,2410,141765,1981,301244,Madrid
0,2807902107,Madrid,1321,101615,1759,2674896,Madrid
0,2807902108,Madrid,996,33200,2291,3484315,Madrid
0,2807902109,Madrid,1486,495333,1946,2958921,Madrid
0,2807902110,Madrid,1632,40800,2027,3081974,Madrid
0,2807902111,Madrid,1356,27120,1892,2877313,Madrid
0,2807902112,Madrid,1591,530333,1998,3039046,Madrid
0,2807903001,Madrid,1715,85750,2126,3232652,Madrid
0,2807903002,Madrid,924,13200,1612,2451594,Madrid
0,2807903003,Madrid,918,45900,1874,2849247,Madrid
0,2807903004,Madrid,1065,53250,1728,2627948,Madrid
0,2807903005,Madrid,723,72300,1452,2208576,Madrid
0,2807903006,Madrid,2052,68400,1819,2766641,Madrid
0,2807903007,Madrid,953,95300,1412,2146557,Madrid
0,2807903008,Madrid,1068,53400,1781,2708049,Madrid
0,2807903009,Madrid,988,49400,1867,283965,Madrid
0,2807903010,Madrid,1028,51400,1784,2713577,Madrid
0,2807903011,Madrid,1073,53650,1574,2393818,Madrid
0,2807903012,Madrid,1012,50600,1959,2978314,Madrid
